%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
0 , MinimaxDepth3Jocque , Random , 6622 , 0, 1, True , N/A
1 , MinimaxDepth3Jocque , Random , 10559 , 0, 2, True , N/A
2 , MinimaxDepth3Jocque , Random , 11303 , 0, 2, True , N/A
3 , MinimaxDepth3Jocque , Random , 13380 , 0, 1, True , N/A
4 , MinimaxDepth3Jocque , Random , 11691 , 0, 2, True , N/A
5 , MinimaxDepth3Jocque , Random , 16734 , 0, 1, True , N/A
6 , MinimaxDepth3Jocque , Random , 11832 , 0, 2, True , N/A
7 , MinimaxDepth3Jocque , Random , 13278 , 0, 2, True , N/A
8 , MinimaxDepth3Jocque , Random , 9290 , 0, 1, True , N/A
9 , MinimaxDepth3Jocque , Random , 9936 , 0, 2, True , N/A
10 , MinimaxDepth3Jocque , Random , 8520 , 0, 1, True , N/A
11 , MinimaxDepth3Jocque , Random , 12654 , 0, 1, True , N/A
12 , MinimaxDepth3Jocque , Random , 9679 , 0, 1, True , N/A
13 , MinimaxDepth3Jocque , Random , 10471 , 0, 2, True , N/A
14 , MinimaxDepth3Jocque , Random , 8945 , 0, 1, True , N/A
15 , MinimaxDepth3Jocque , Random , 9047 , 0, 2, True , N/A
16 , MinimaxDepth3Jocque , Random , 14812 , 0, 2, True , N/A
17 , MinimaxDepth3Jocque , Random , 8303 , 0, 2, True , N/A
18 , MinimaxDepth3Jocque , Random , 15956 , 0, 2, True , N/A
19 , MinimaxDepth3Jocque , Random , 10535 , 0, 1, True , N/A
20 , MinimaxDepth3Jocque , Random , 10802 , 0, 1, True , N/A
21 , MinimaxDepth3Jocque , Random , 11479 , 0, 2, True , N/A
22 , MinimaxDepth3Jocque , Random , 11438 , 0, 2, True , N/A
23 , MinimaxDepth3Jocque , Random , 8923 , 0, 2, True , N/A
24 , MinimaxDepth3Jocque , Random , 12459 , 0, 1, True , N/A
25 , MinimaxDepth3Jocque , Random , 5901 , 0, 1, True , N/A
26 , MinimaxDepth3Jocque , Random , 12446 , 0, 2, True , N/A
27 , MinimaxDepth3Jocque , Random , 10500 , 0, 2, True , N/A
28 , MinimaxDepth3Jocque , Random , 9717 , 0, 2, True , N/A
29 , MinimaxDepth3Jocque , Random , 8557 , 0, 1, True , N/A
30 , MinimaxDepth3Jocque , Random , 10583 , 0, 2, True , N/A
31 , MinimaxDepth3Jocque , Random , 8059 , 0, 2, True , N/A
32 , MinimaxDepth3Jocque , Random , 11491 , 0, 2, True , N/A
33 , MinimaxDepth3Jocque , Random , 13702 , 0, 2, True , N/A
34 , MinimaxDepth3Jocque , Random , 10458 , 0, 2, True , N/A
35 , MinimaxDepth3Jocque , Random , 4364 , 0, 2, True , N/A
36 , MinimaxDepth3Jocque , Random , 8711 , 0, 1, True , N/A
37 , MinimaxDepth3Jocque , Random , 9679 , 0, 1, True , N/A
38 , MinimaxDepth3Jocque , Random , 11935 , 0, 2, True , N/A
39 , MinimaxDepth3Jocque , Random , 15367 , 0, 1, True , N/A
40 , MinimaxDepth3Jocque , Random , 5520 , 0, 2, True , N/A
41 , MinimaxDepth3Jocque , Random , 12497 , 0, 2, True , N/A
42 , MinimaxDepth3Jocque , Random , 11089 , 0, 2, True , N/A
43 , MinimaxDepth3Jocque , Random , 9537 , 0, 2, True , N/A
44 , MinimaxDepth3Jocque , Random , 7094 , 0, 2, True , N/A
45 , MinimaxDepth3Jocque , Random , 15191 , 0, 2, True , N/A
46 , MinimaxDepth3Jocque , Random , 8780 , 0, 1, True , N/A
47 , MinimaxDepth3Jocque , Random , 10469 , 0, 2, True , N/A
48 , MinimaxDepth3Jocque , Random , 13197 , 0, 2, True , N/A
49 , MinimaxDepth3Jocque , Random , 11077 , 0, 2, True , N/A
50 , MinimaxDepth3Jocque , Random , 6888 , 0, 2, True , N/A
51 , MinimaxDepth3Jocque , Random , 8819 , 0, 2, True , N/A
52 , MinimaxDepth3Jocque , Random , 6747 , 0, 2, True , N/A
53 , MinimaxDepth3Jocque , Random , 12501 , 0, 2, True , N/A
54 , MinimaxDepth3Jocque , Random , 11116 , 0, 1, True , N/A
