%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
0 , MinimaxDepth3Jocque , Random , 1842 , 0, 1, True , N/A
1 , MinimaxDepth3Jocque , Random , 978 , 0, 1, True , N/A
2 , MinimaxDepth3Jocque , Random , 1537 , 0, 1, True , N/A
3 , MinimaxDepth3Jocque , Random , 1847 , 0, 1, True , N/A
4 , MinimaxDepth3Jocque , Random , 1282 , 0, 1, True , N/A
5 , MinimaxDepth3Jocque , Random , 2452 , 0, 1, True , N/A
6 , MinimaxDepth3Jocque , Random , 2239 , 0, 2, True , N/A
7 , MinimaxDepth3Jocque , Random , 1566 , 0, 1, True , N/A
8 , MinimaxDepth3Jocque , Random , 1730 , 0, 1, True , N/A
9 , MinimaxDepth3Jocque , Random , 1872 , 0, 1, True , N/A
10 , MinimaxDepth3Jocque , Random , 2022 , 0, 1, True , N/A
11 , MinimaxDepth3Jocque , Random , 1451 , 0, 2, True , N/A
12 , MinimaxDepth3Jocque , Random , 2151 , 0, 1, True , N/A
13 , MinimaxDepth3Jocque , Random , 2345 , 0, 2, True , N/A
14 , MinimaxDepth3Jocque , Random , 2273 , 0, 1, True , N/A
15 , MinimaxDepth3Jocque , Random , 1710 , 0, 2, True , N/A
16 , MinimaxDepth3Jocque , Random , 2891 , 0, 1, True , N/A
17 , MinimaxDepth3Jocque , Random , 1911 , 0, 1, True , N/A
18 , MinimaxDepth3Jocque , Random , 1172 , 0, 2, True , N/A
19 , MinimaxDepth3Jocque , Random , 2279 , 0, 1, True , N/A
20 , MinimaxDepth3Jocque , Random , 1777 , 0, 1, True , N/A
21 , MinimaxDepth3Jocque , Random , 2706 , 0, 1, True , N/A
22 , MinimaxDepth3Jocque , Random , 1569 , 0, 2, True , N/A
23 , MinimaxDepth3Jocque , Random , 2001 , 0, 1, True , N/A
24 , MinimaxDepth3Jocque , Random , 2119 , 0, 1, True , N/A
25 , MinimaxDepth3Jocque , Random , 2683 , 0, 1, True , N/A
26 , MinimaxDepth3Jocque , Random , 1906 , 0, 2, True , N/A
27 , MinimaxDepth3Jocque , Random , 1770 , 0, 1, True , N/A
28 , MinimaxDepth3Jocque , Random , 2822 , 0, 2, True , N/A
29 , MinimaxDepth3Jocque , Random , 1404 , 0, 1, True , N/A
30 , MinimaxDepth3Jocque , Random , 1538 , 0, 1, True , N/A
31 , MinimaxDepth3Jocque , Random , 2517 , 0, 1, True , N/A
32 , MinimaxDepth3Jocque , Random , 1835 , 0, 1, True , N/A
33 , MinimaxDepth3Jocque , Random , 2872 , 0, 1, True , N/A
34 , MinimaxDepth3Jocque , Random , 1771 , 0, 1, True , N/A
35 , MinimaxDepth3Jocque , Random , 2391 , 0, 2, True , N/A
36 , MinimaxDepth3Jocque , Random , 1278 , 0, 1, True , N/A
37 , MinimaxDepth3Jocque , Random , 2237 , 0, 2, True , N/A
38 , MinimaxDepth3Jocque , Random , 1846 , 0, 1, True , N/A
39 , MinimaxDepth3Jocque , Random , 1811 , 0, 1, True , N/A
40 , MinimaxDepth3Jocque , Random , 2176 , 0, 1, True , N/A
41 , MinimaxDepth3Jocque , Random , 1276 , 0, 1, True , N/A
42 , MinimaxDepth3Jocque , Random , 2103 , 0, 1, True , N/A
43 , MinimaxDepth3Jocque , Random , 2614 , 0, 1, True , N/A
44 , MinimaxDepth3Jocque , Random , 1857 , 0, 1, True , N/A
45 , MinimaxDepth3Jocque , Random , 2691 , 0, 1, True , N/A
46 , MinimaxDepth3Jocque , Random , 2465 , 0, 1, True , N/A
47 , MinimaxDepth3Jocque , Random , 3118 , 0, 1, True , N/A
48 , MinimaxDepth3Jocque , Random , 2097 , 0, 2, True , N/A
49 , MinimaxDepth3Jocque , Random , 1770 , 0, 2, True , N/A
50 , MinimaxDepth3Jocque , Random , 1243 , 0, 2, True , N/A
51 , MinimaxDepth3Jocque , Random , 1637 , 0, 1, True , N/A
52 , MinimaxDepth3Jocque , Random , 1205 , 0, 2, True , N/A
53 , MinimaxDepth3Jocque , Random , 1410 , 0, 1, True , N/A
54 , MinimaxDepth3Jocque , Random , 2255 , 0, 1, True , N/A
55 , MinimaxDepth3Jocque , Random , 1434 , 0, 1, True , N/A
56 , MinimaxDepth3Jocque , Random , 1552 , 0, 1, True , N/A
57 , MinimaxDepth3Jocque , Random , 2787 , 0, 1, True , N/A
58 , MinimaxDepth3Jocque , Random , 1823 , 0, 1, True , N/A
59 , MinimaxDepth3Jocque , Random , 1597 , 0, 2, True , N/A
60 , MinimaxDepth3Jocque , Random , 1914 , 0, 1, True , N/A
61 , MinimaxDepth3Jocque , Random , 1816 , 0, 2, True , N/A
62 , MinimaxDepth3Jocque , Random , 1526 , 0, 1, True , N/A
63 , MinimaxDepth3Jocque , Random , 1766 , 0, 1, True , N/A
64 , MinimaxDepth3Jocque , Random , 2016 , 0, 1, True , N/A
65 , MinimaxDepth3Jocque , Random , 2198 , 0, 2, True , N/A
66 , MinimaxDepth3Jocque , Random , 1891 , 0, 1, True , N/A
67 , MinimaxDepth3Jocque , Random , 1620 , 0, 1, True , N/A
68 , MinimaxDepth3Jocque , Random , 2466 , 0, 1, True , N/A
69 , MinimaxDepth3Jocque , Random , 1691 , 0, 1, True , N/A
70 , MinimaxDepth3Jocque , Random , 2360 , 0, 1, True , N/A
71 , MinimaxDepth3Jocque , Random , 1176 , 0, 1, True , N/A
72 , MinimaxDepth3Jocque , Random , 1820 , 0, 1, True , N/A
73 , MinimaxDepth3Jocque , Random , 1531 , 0, 1, True , N/A
74 , MinimaxDepth3Jocque , Random , 2029 , 0, 2, True , N/A
75 , MinimaxDepth3Jocque , Random , 2472 , 0, 1, True , N/A
76 , MinimaxDepth3Jocque , Random , 2019 , 0, 1, True , N/A
77 , MinimaxDepth3Jocque , Random , 1950 , 0, 2, True , N/A
78 , MinimaxDepth3Jocque , Random , 2646 , 0, 1, True , N/A
79 , MinimaxDepth3Jocque , Random , 1589 , 0, 1, True , N/A
80 , MinimaxDepth3Jocque , Random , 1677 , 0, 2, True , N/A
81 , MinimaxDepth3Jocque , Random , 2597 , 0, 1, True , N/A
82 , MinimaxDepth3Jocque , Random , 1620 , 0, 1, True , N/A
83 , MinimaxDepth3Jocque , Random , 1564 , 0, 1, True , N/A
84 , MinimaxDepth3Jocque , Random , 1780 , 0, 1, True , N/A
85 , MinimaxDepth3Jocque , Random , 2102 , 0, 1, True , N/A
86 , MinimaxDepth3Jocque , Random , 2083 , 0, 1, True , N/A
87 , MinimaxDepth3Jocque , Random , 2076 , 0, 1, True , N/A
88 , MinimaxDepth3Jocque , Random , 2663 , 0, 2, True , N/A
89 , MinimaxDepth3Jocque , Random , 3105 , 0, 1, True , N/A
90 , MinimaxDepth3Jocque , Random , 1950 , 0, 1, True , N/A
91 , MinimaxDepth3Jocque , Random , 2078 , 0, 1, True , N/A
92 , MinimaxDepth3Jocque , Random , 2354 , 0, 1, True , N/A
93 , MinimaxDepth3Jocque , Random , 2181 , 0, 2, True , N/A
94 , MinimaxDepth3Jocque , Random , 1778 , 0, 1, True , N/A
95 , MinimaxDepth3Jocque , Random , 2425 , 0, 1, True , N/A
96 , MinimaxDepth3Jocque , Random , 2250 , 0, 1, True , N/A
97 , MinimaxDepth3Jocque , Random , 2163 , 0, 2, True , N/A
98 , MinimaxDepth3Jocque , Random , 1577 , 0, 1, True , N/A
99 , MinimaxDepth3Jocque , Random , 2038 , 0, 1, True , N/A
