%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
0 , Random , MinimaxDepth3Jocque , 0, 3663 , 2, True , N/A
1 , MinimaxDepth3Jocque , Random , 8187 , 0, 1, N/A, True
2 , Random , MinimaxDepth3Jocque , 0, 2654 , 2, True , N/A
3 , MinimaxDepth3Jocque , Random , 16041 , 0, 2, N/A, True
4 , Random , MinimaxDepth3Jocque , 0, 3561 , 2, True , N/A
5 , MinimaxDepth3Jocque , Random , 9224 , 0, 2, N/A, True
6 , Random , MinimaxDepth3Jocque , 0, 2505 , 2, True , N/A
7 , MinimaxDepth3Jocque , Random , 9931 , 0, 1, N/A, True
8 , Random , MinimaxDepth3Jocque , 0, 4400 , 2, True , N/A
9 , MinimaxDepth3Jocque , Random , 16605 , 0, 1, N/A, True
10 , Random , MinimaxDepth3Jocque , 0, 6082 , 2, True , N/A
11 , MinimaxDepth3Jocque , Random , 9997 , 0, 1, N/A, True
12 , Random , MinimaxDepth3Jocque , 0, 3053 , 2, True , N/A
13 , MinimaxDepth3Jocque , Random , 7943 , 0, 2, N/A, True
14 , Random , MinimaxDepth3Jocque , 0, 4949 , 2, True , N/A
15 , MinimaxDepth3Jocque , Random , 10540 , 0, 2, N/A, True
16 , Random , MinimaxDepth3Jocque , 0, 5097 , 2, True , N/A
17 , MinimaxDepth3Jocque , Random , 10818 , 0, 2, N/A, True
18 , Random , MinimaxDepth3Jocque , 0, 3863 , 2, True , N/A
19 , MinimaxDepth3Jocque , Random , 10443 , 0, 2, N/A, True
20 , Random , MinimaxDepth3Jocque , 0, 3436 , 2, True , N/A
21 , MinimaxDepth3Jocque , Random , 15722 , 0, 2, N/A, True
22 , Random , MinimaxDepth3Jocque , 0, 3424 , 2, True , N/A
23 , MinimaxDepth3Jocque , Random , 7180 , 0, 2, N/A, True
24 , Random , MinimaxDepth3Jocque , 0, 1698 , 1, True , N/A
25 , MinimaxDepth3Jocque , Random , 9389 , 0, 2, N/A, True
26 , Random , MinimaxDepth3Jocque , 0, 5197 , 2, True , N/A
27 , MinimaxDepth3Jocque , Random , 11020 , 0, 2, N/A, True
28 , Random , MinimaxDepth3Jocque , 0, 6840 , 2, True , N/A
29 , MinimaxDepth3Jocque , Random , 14884 , 0, 1, N/A, True
30 , Random , MinimaxDepth3Jocque , 0, 4570 , 2, True , N/A
31 , MinimaxDepth3Jocque , Random , 15257 , 0, 1, N/A, True
32 , Random , MinimaxDepth3Jocque , 0, 3878 , 2, True , N/A
33 , MinimaxDepth3Jocque , Random , 10930 , 0, 2, N/A, True
34 , Random , MinimaxDepth3Jocque , 0, 4738 , 2, True , N/A
35 , MinimaxDepth3Jocque , Random , 8470 , 0, 2, N/A, True
36 , Random , MinimaxDepth3Jocque , 0, 5780 , 2, True , N/A
37 , MinimaxDepth3Jocque , Random , 10295 , 0, 1, N/A, True
38 , Random , MinimaxDepth3Jocque , 0, 3625 , 2, True , N/A
39 , MinimaxDepth3Jocque , Random , 11019 , 0, 2, N/A, True
40 , Random , MinimaxDepth3Jocque , 0, 3256 , 2, True , N/A
41 , MinimaxDepth3Jocque , Random , 8621 , 0, 1, N/A, True
42 , Random , MinimaxDepth3Jocque , 0, 4240 , 1, True , N/A
43 , MinimaxDepth3Jocque , Random , 6742 , 0, 2, N/A, True
44 , Random , MinimaxDepth3Jocque , 0, 3843 , 2, True , N/A
45 , MinimaxDepth3Jocque , Random , 11275 , 0, 2, N/A, True
46 , Random , MinimaxDepth3Jocque , 0, 2767 , 2, True , N/A
47 , MinimaxDepth3Jocque , Random , 9593 , 0, 1, N/A, True
48 , Random , MinimaxDepth3Jocque , 0, 3813 , 2, True , N/A
49 , MinimaxDepth3Jocque , Random , 13029 , 0, 2, N/A, True
50 , Random , MinimaxDepth3Jocque , 0, 3953 , 2, True , N/A
51 , MinimaxDepth3Jocque , Random , 7407 , 0, 2, N/A, True
52 , Random , MinimaxDepth3Jocque , 0, 4155 , 2, True , N/A
53 , MinimaxDepth3Jocque , Random , 11689 , 0, 1, N/A, True
54 , Random , MinimaxDepth3Jocque , 0, 4777 , 2, True , N/A
55 , MinimaxDepth3Jocque , Random , 10527 , 0, 2, N/A, True
56 , Random , MinimaxDepth3Jocque , 0, 5362 , 2, True , N/A
57 , MinimaxDepth3Jocque , Random , 7813 , 0, 1, N/A, True
58 , Random , MinimaxDepth3Jocque , 0, 4969 , 2, True , N/A
59 , MinimaxDepth3Jocque , Random , 12640 , 0, 2, N/A, True
60 , Random , MinimaxDepth3Jocque , 0, 6820 , 2, True , N/A
61 , MinimaxDepth3Jocque , Random , 8947 , 0, 1, N/A, True
62 , Random , MinimaxDepth3Jocque , 0, 2220 , 2, True , N/A
63 , MinimaxDepth3Jocque , Random , 9781 , 0, 1, N/A, True
64 , Random , MinimaxDepth3Jocque , 0, 5619 , 2, True , N/A
65 , MinimaxDepth3Jocque , Random , 11333 , 0, 1, N/A, True
66 , Random , MinimaxDepth3Jocque , 0, 4995 , 2, True , N/A
67 , MinimaxDepth3Jocque , Random , 12843 , 0, 2, N/A, True
68 , Random , MinimaxDepth3Jocque , 0, 2757 , 2, True , N/A
69 , MinimaxDepth3Jocque , Random , 9669 , 0, 2, N/A, True
70 , Random , MinimaxDepth3Jocque , 0, 2484 , 1, True , N/A
71 , MinimaxDepth3Jocque , Random , 18615 , 0, 2, N/A, True
72 , Random , MinimaxDepth3Jocque , 0, 4270 , 1, True , N/A
73 , MinimaxDepth3Jocque , Random , 11424 , 0, 2, N/A, True
74 , Random , MinimaxDepth3Jocque , 0, 6212 , 2, True , N/A
75 , MinimaxDepth3Jocque , Random , 12023 , 0, 1, N/A, True
76 , Random , MinimaxDepth3Jocque , 0, 2608 , 2, True , N/A
77 , MinimaxDepth3Jocque , Random , 12772 , 0, 1, N/A, True
78 , Random , MinimaxDepth3Jocque , 0, 2113 , 2, True , N/A
79 , MinimaxDepth3Jocque , Random , 11826 , 0, 2, N/A, True
80 , Random , MinimaxDepth3Jocque , 0, 2436 , 2, True , N/A
81 , MinimaxDepth3Jocque , Random , 10783 , 0, 2, N/A, True
82 , Random , MinimaxDepth3Jocque , 0, 2716 , 2, True , N/A
83 , MinimaxDepth3Jocque , Random , 13976 , 0, 2, N/A, True
84 , Random , MinimaxDepth3Jocque , 0, 4940 , 2, True , N/A
85 , MinimaxDepth3Jocque , Random , 9512 , 0, 2, N/A, True
86 , Random , MinimaxDepth3Jocque , 0, 3692 , 2, True , N/A
87 , MinimaxDepth3Jocque , Random , 7908 , 0, 1, N/A, True
88 , Random , MinimaxDepth3Jocque , 0, 3523 , 2, True , N/A
