%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
0 , Random , MinimaxDepth3Jocque , 0, 2349 , 2, N/A, True
1 , Random , MinimaxDepth3Jocque , 0, 4283 , 2, N/A, True
2 , Random , MinimaxDepth3Jocque , 0, 3794 , 2, N/A, True
3 , Random , MinimaxDepth3Jocque , 0, 4045 , 2, N/A, True
4 , Random , MinimaxDepth3Jocque , 0, 3795 , 2, N/A, True
5 , Random , MinimaxDepth3Jocque , 0, 7347 , 2, N/A, True
6 , Random , MinimaxDepth3Jocque , 0, 3269 , 2, N/A, True
7 , Random , MinimaxDepth3Jocque , 0, 3926 , 2, N/A, True
8 , Random , MinimaxDepth3Jocque , 0, 3085 , 2, N/A, True
9 , Random , MinimaxDepth3Jocque , 0, 4474 , 2, N/A, True
10 , Random , MinimaxDepth3Jocque , 0, 3429 , 1, N/A, True
11 , Random , MinimaxDepth3Jocque , 0, 2416 , 2, N/A, True
12 , Random , MinimaxDepth3Jocque , 0, 3230 , 2, N/A, True
13 , Random , MinimaxDepth3Jocque , 0, 4061 , 2, N/A, True
14 , Random , MinimaxDepth3Jocque , 0, 4410 , 2, N/A, True
15 , Random , MinimaxDepth3Jocque , 0, 5014 , 2, N/A, True
16 , Random , MinimaxDepth3Jocque , 0, 2998 , 2, N/A, True
17 , Random , MinimaxDepth3Jocque , 0, 3894 , 1, N/A, True
18 , Random , MinimaxDepth3Jocque , 0, 10895 , 1, N/A, True
19 , Random , MinimaxDepth3Jocque , 0, 4339 , 2, N/A, True
20 , Random , MinimaxDepth3Jocque , 0, 5017 , 2, N/A, True
21 , Random , MinimaxDepth3Jocque , 0, 4016 , 2, N/A, True
22 , Random , MinimaxDepth3Jocque , 0, 2231 , 2, N/A, True
23 , Random , MinimaxDepth3Jocque , 0, 4396 , 2, N/A, True
24 , Random , MinimaxDepth3Jocque , 0, 4301 , 2, N/A, True
25 , Random , MinimaxDepth3Jocque , 0, 3159 , 2, N/A, True
26 , Random , MinimaxDepth3Jocque , 0, 3781 , 2, N/A, True
27 , Random , MinimaxDepth3Jocque , 0, 3110 , 2, N/A, True
28 , Random , MinimaxDepth3Jocque , 0, 3905 , 2, N/A, True
29 , Random , MinimaxDepth3Jocque , 0, 2770 , 2, N/A, True
30 , Random , MinimaxDepth3Jocque , 0, 4727 , 2, N/A, True
31 , Random , MinimaxDepth3Jocque , 0, 5698 , 2, N/A, True
32 , Random , MinimaxDepth3Jocque , 0, 2852 , 2, N/A, True
33 , Random , MinimaxDepth3Jocque , 0, 3595 , 2, N/A, True
34 , Random , MinimaxDepth3Jocque , 0, 2719 , 2, N/A, True
35 , Random , MinimaxDepth3Jocque , 0, 5179 , 2, N/A, True
36 , Random , MinimaxDepth3Jocque , 0, 4260 , 2, N/A, True
37 , Random , MinimaxDepth3Jocque , 0, 3739 , 2, N/A, True
38 , Random , MinimaxDepth3Jocque , 0, 5383 , 2, N/A, True
39 , Random , MinimaxDepth3Jocque , 0, 4563 , 2, N/A, True
40 , Random , MinimaxDepth3Jocque , 0, 3811 , 2, N/A, True
41 , Random , MinimaxDepth3Jocque , 0, 3805 , 2, N/A, True
42 , Random , MinimaxDepth3Jocque , 0, 1962 , 2, N/A, True
43 , Random , MinimaxDepth3Jocque , 0, 3356 , 2, N/A, True
44 , Random , MinimaxDepth3Jocque , 0, 3365 , 2, N/A, True
45 , Random , MinimaxDepth3Jocque , 0, 2680 , 2, N/A, True
46 , Random , MinimaxDepth3Jocque , 0, 2157 , 2, N/A, True
47 , Random , MinimaxDepth3Jocque , 0, 2113 , 2, N/A, True
48 , Random , MinimaxDepth3Jocque , 0, 5328 , 2, N/A, True
49 , Random , MinimaxDepth3Jocque , 0, 3946 , 2, N/A, True
50 , Random , MinimaxDepth3Jocque , 0, 4374 , 1, N/A, True
51 , Random , MinimaxDepth3Jocque , 0, 2314 , 2, N/A, True
52 , Random , MinimaxDepth3Jocque , 0, 3839 , 1, N/A, True
53 , Random , MinimaxDepth3Jocque , 0, 3233 , 1, N/A, True
54 , Random , MinimaxDepth3Jocque , 0, 3200 , 2, N/A, True
55 , Random , MinimaxDepth3Jocque , 0, 3563 , 2, N/A, True
56 , Random , MinimaxDepth3Jocque , 0, 6277 , 2, N/A, True
57 , Random , MinimaxDepth3Jocque , 0, 3089 , 2, N/A, True
58 , Random , MinimaxDepth3Jocque , 0, 5278 , 2, N/A, True
59 , Random , MinimaxDepth3Jocque , 0, 2098 , 1, N/A, True
60 , Random , MinimaxDepth3Jocque , 0, 3345 , 1, N/A, True
61 , Random , MinimaxDepth3Jocque , 0, 3186 , 2, N/A, True
62 , Random , MinimaxDepth3Jocque , 0, 4842 , 2, N/A, True
63 , Random , MinimaxDepth3Jocque , 0, 4709 , 2, N/A, True
64 , Random , MinimaxDepth3Jocque , 0, 3500 , 2, N/A, True
65 , Random , MinimaxDepth3Jocque , 0, 6387 , 2, N/A, True
66 , Random , MinimaxDepth3Jocque , 0, 3941 , 2, N/A, True
67 , Random , MinimaxDepth3Jocque , 0, 4094 , 2, N/A, True
68 , Random , MinimaxDepth3Jocque , 0, 4458 , 2, N/A, True
69 , Random , MinimaxDepth3Jocque , 0, 3996 , 2, N/A, True
70 , Random , MinimaxDepth3Jocque , 0, 3766 , 2, N/A, True
71 , Random , MinimaxDepth3Jocque , 0, 2656 , 1, N/A, True
72 , Random , MinimaxDepth3Jocque , 0, 5405 , 1, N/A, True
73 , Random , MinimaxDepth3Jocque , 0, 3677 , 2, N/A, True
74 , Random , MinimaxDepth3Jocque , 0, 5491 , 2, N/A, True
75 , Random , MinimaxDepth3Jocque , 0, 3571 , 2, N/A, True
76 , Random , MinimaxDepth3Jocque , 0, 3404 , 2, N/A, True
77 , Random , MinimaxDepth3Jocque , 0, 2996 , 2, N/A, True
78 , Random , MinimaxDepth3Jocque , 0, 6240 , 1, N/A, True
79 , Random , MinimaxDepth3Jocque , 0, 3232 , 2, N/A, True
80 , Random , MinimaxDepth3Jocque , 0, 4561 , 2, N/A, True
81 , Random , MinimaxDepth3Jocque , 0, 3093 , 2, N/A, True
82 , Random , MinimaxDepth3Jocque , 0, 3583 , 2, N/A, True
83 , Random , MinimaxDepth3Jocque , 0, 4321 , 1, N/A, True
84 , Random , MinimaxDepth3Jocque , 0, 3082 , 2, N/A, True
85 , Random , MinimaxDepth3Jocque , 0, 2259 , 2, N/A, True
86 , Random , MinimaxDepth3Jocque , 0, 2836 , 2, N/A, True
87 , Random , MinimaxDepth3Jocque , 0, 5701 , 2, N/A, True
88 , Random , MinimaxDepth3Jocque , 0, 3027 , 2, N/A, True
89 , Random , MinimaxDepth3Jocque , 0, 3729 , 1, N/A, True
90 , Random , MinimaxDepth3Jocque , 0, 3734 , 2, N/A, True
