%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight , %gamesPerRound, %timeIndividualFinished
0, 0, 0.37, 1.0, 3.0, 1.0, 3.0, 0.777235249845, 3.0, 100, 12:19:33.578075
0, 1, 0.34, 0.782996264003, 3.006702818, 1.0, 3.006702818, 1.0, 3.0, 100, 12:20:04.235751
0, 2, 0.39, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 100, 12:20:35.493147
0, 3, 0.36, 1.0, 3.0, 0.859715711066, 3.0, 0.775978456239, 3.41529518766, 100, 12:21:05.476073
0, 4, 0.34, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 100, 12:21:37.124599
1, 0, 0.36, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 100, 12:22:09.353732
1, 1, 0.32, 1.0, 3.0, 1.38718366284, 3.0, 1.0, 3.0, 100, 12:22:41.614620
1, 2, 0.44, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 100, 12:23:14.351980
1, 3, 0.38, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 100, 12:23:46.613233
1, 4, 0.46, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:24:17.684692
2, 0, 0.35, 1.0, 3.0, 0.747359383359, 3.0, 0.625147763859, 3.0, 100, 12:24:48.504954
2, 1, 0.4, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:25:20.563713
2, 2, 0.45, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:25:51.142659
2, 3, 0.42, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:26:23.443254
2, 4, 0.43, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:26:56.291344
3, 0, 0.34, 1.0, 3.0, 1.0, 3.0, 0.852525546915, 3.3094332952, 100, 12:27:27.463639
3, 1, 0.29, 1.49332377392, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:28:01.405250
3, 2, 0.35, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:28:34.655837
3, 3, 0.37, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:29:06.475412
3, 4, 0.33, 1.0, 3.0, 0.796717164109, 3.0, 0.625147763859, 3.0, 100, 12:29:38.419618
4, 0, 0.47, 1.0, 2.85867454664, 1.0, 2.85867454664, 0.625147763859, 3.0, 100, 12:30:11.095302
4, 1, 0.4, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 2.85758857534, 100, 12:30:43.517409
4, 2, 0.35, 1.0, 3.0, 1.0, 3.0, 1.08264242777, 3.0, 100, 12:31:14.571671
4, 3, 0.46, 1.0, 3.0, 1.0, 3.0, 0.625147763859, 3.0, 100, 12:31:45.351783
4, 4, 0.47, 1.0, 3.0, 1.0, 3.0, 0.605436681074, 3.0, 100, 12:32:17.256355
5, 0, 0.46, 0.866389284343, 3.33028899869, 1.0, 3.33028899869, 0.625147763859, 3.0, 100, 12:32:49.496847
5, 1, 0.39, 1.0, 2.85867454664, 0.723852186004, 2.85867454664, 0.625147763859, 3.0, 100, 12:33:22.433580
5, 2, 0.35, 0.869712157648, 2.85867454664, 1.0, 2.85867454664, 0.625147763859, 3.0, 100, 12:33:54.039372
5, 3, 0.38, 1.0, 2.80086588881, 1.0, 2.80086588881, 0.283457319387, 3.0, 100, 12:34:26.349469
5, 4, 0.44, 1.38431918572, 2.85867454664, 1.0, 2.85867454664, 0.625147763859, 3.0, 100, 12:34:59.120706
6, 0, 0.33, 0.866389284343, 3.33028899869, 1.0, 3.33028899869, 0.625147763859, 3.0, 100, 12:35:31.508099
6, 1, 0.34, 0.866389284343, 3.33028899869, 1.0, 3.33028899869, 0.625147763859, 3.0, 100, 12:36:02.181254
6, 2, 0.28, 0.886945691918, 3.33028899869, 1.0, 3.33028899869, 0.625147763859, 3.0, 100, 12:36:33.403014
6, 3, 0.38, 0.866389284343, 3.33028899869, 0.539980360494, 3.33028899869, 0.625147763859, 3.23836352533, 100, 12:37:05.236673
